treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,exposure,coral_dead,coral_live,encrusting_brown_algae,filamentous_algae,turf_algae,CCA,worm,detritus,bare_tile
anigrofuscus,1,goniastrea,1,13,b,0,0,0,0,8,2,16,0,16,58
anigrofuscus,1,kenti,1,1,m,0,0,4,0,18,0,8,0,8,62
anigrofuscus,1,kenti,2,1,c,0,0,2,0,30,6,14,0,4,44
anigrofuscus,1,kenti,3,4,e,0,0,6,0,16,10,8,0,8,52
anigrofuscus,1,millepora,1,45,k,0,0,0,0,12,28,4,0,18,38
anigrofuscus,1,millepora,2,19,b,0,0,0,0,6,2,22,0,12,58
anigrofuscus,1,millepora,3,43,p,0,0,0,0,10,20,2,0,8,60
anigrofuscus,1,millepora,4,36,a,0,2,0,0,10,20,18,0,16,34
anigrofuscus,2,goniastrea,1,14,d,0,0,0,0,20,0,4,0,2,74
anigrofuscus,2,kenti,1,1,o,0,0,0,0,40,0,26,0,2,32
anigrofuscus,2,kenti,2,4,d,0,0,2,0,14,0,8,0,4,72
anigrofuscus,2,kenti,3,4,i,0,0,0,0,20,0,14,0,20,46
anigrofuscus,2,millepora,1,26,k,0,0,0,0,18,10,6,2,18,46
anigrofuscus,2,millepora,2,19,n,0,2,0,0,26,20,16,0,22,14
anigrofuscus,2,millepora,3,19,f,0,0,2,0,30,10,10,0,4,44
anigrofuscus,2,millepora,4,17,f,0,0,2,0,40,10,16,0,6,26
anigrofuscus,3,goniastrea,1,3,f,0,0,0,0,18,38,0,0,18,26
anigrofuscus,3,kenti,1,9,o,0,0,0,0,24,0,18,0,0,58
anigrofuscus,3,kenti,2,1,h,0,0,0,0,32,14,4,0,12,38
anigrofuscus,3,kenti,3,33,f,0,0,0,0,34,4,12,0,0,50
anigrofuscus,3,millepora,1,19,c,0,0,8,0,32,2,12,0,4,42
anigrofuscus,3,millepora,2,45,m,0,0,0,0,10,56,6,0,6,22
anigrofuscus,3,millepora,3,36,m,0,0,6,0,24,8,14,0,10,38
anigrofuscus,3,millepora,4,43,k,0,0,0,0,42,10,6,0,2,40
