treatment,treatment_rep,coral_species,tile_rep,tile_ID_no,tile_ID_letter,recruit_number,surface_area_pre,recruit_age,recruit_individuals,chimera,dead_post,completely_removed,skeleton_remains,half_gone,inner_polyp_left,damage_<50
anigrofuscus,1,millepora,1,45,k,1,3.8,m,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,2,0.8,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,3,1,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,4,1,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,5,1.2,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,6,1,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,7,1.9,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,8,1.6,d,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,9,1.6,d,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,10,1.3,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,11,1.2,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,12,0.3,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,13,2.6,d,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,14,2.6,d,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,15,1.8,m,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,16,0.6,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,17,1,d,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,18,0.9,d,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,19,2.4,m,3,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,20,2.5,d,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,21,2.6,d,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,22,2.3,m,2,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,23,0.9,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,24,6.2,d,6,1,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,25,1.6,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,26,1.5,m,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,27,0.9,d,1,0,0,na,na,na,na,na
anigrofuscus,1,millepora,1,45,k,28,1.2,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,1, ,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,2,1.5,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,3,1.7,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,4,1.8,d,2,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,5,1.6,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,6,1.2,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,7,1,d,1,0,1,yes,na,na,na,na
anigrofuscus,1,kenti,1,1,m,8,1.2,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,9,3.2,d,3,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,10,1.4,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,11,1.6,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,12,2.3,d,2,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,13,1.4,d,1,0,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,14,2.7,d,2,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,15,5.8,d,4,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,16,3.2,d,3,1,0,na,na,na,na,na
anigrofuscus,1,kenti,1,1,m,17,1.2,d,1,0,0,na,na,na,na,na
