treatment,treatment_rep,fish_short,video_num,video,video_rep,coral_species,tile_rep,flurry,bites
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,millepora,1,1,5
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,millepora,2,1,5
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,millepora,3,0,0
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,millepora,4,0,0
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,kenti,1,0,0
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,kenti,2,1,2
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,kenti,2,2,2
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,kenti,2,3,2
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,kenti,3,0,0
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,goniastrea,1,0,0
anigrofuscus,1,AN,2,GX012344,AN1_GX012344,not_tile,0,0,0
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,1,1,3
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,1,2,2
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,1,3,6
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,1,4,4
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,1,5,8
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,2,0,0
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,3,1,6
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,4,1,6
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,millepora,4,2,15
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,1,0,0
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,2,1,1
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,2,2,3
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,2,3,4
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,2,4,2
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,2,5,1
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,kenti,3,1,5
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,goniastrea,1,0,0
anigrofuscus,1,AN,11,GX022346,AN1_GX022346,not_tile,0,1,1
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,millepora,1,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,millepora,2,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,millepora,3,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,millepora,4,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,kenti,1,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,kenti,2,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,kenti,3,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,goniastrea,1,0,0
anigrofuscus,1,AN,12,GX032341,AN1_GX032341,not_tile,0,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,millepora,1,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,millepora,2,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,millepora,3,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,millepora,4,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,kenti,1,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,kenti,2,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,kenti,3,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,goniastrea,1,0,0
anigrofuscus,1,AN,15,GX032345,AN1_GX032345,not_tile,0,1,1
anigrofuscus,1,AN,17,GX042344,AN1_GX042344,millepora,1,1,1
anigrofuscus,1,AN,17,GX042344,AN1_GX042344,millepora,2,1,6
